Sample_ID,Site_ID,Date,Sample,Temp_in,Temp_out,CO2ppm,CH4ppm,N2Oppm,RerunCO2,RerunCH4,RerunN2O,Reruns,Flagged
4C6 ,4C,16/May/18,Atm,,,434.7021868,2.655282291,0.3266261613,,,,,
4C7 ,4C,16/May/18,1A,17.3,18.1,331.514,469.957,0.303,331.514,469.957,0.303,REPLACED,
4C8 ,4C,16/May/18,1B,17.3,18.1,302.8468967,465.0788513,0.3264260853,,,,,
4C9 ,4C,16/May/18,2A,17.3,18.2,305.6165207,495.7862428,0.3325825766,,,,,
4C10 ,4C,16/May/18,2B,17.3,18.2,342.581,504.422,0.31,342.581,504.422,0.31,REPLACED,
56A6 ,56A,16/May/18,Atm,,,422.5847626,2.175175336,0.3278317891,,,,,
56A7 ,56A,16/May/18,1A,16,17.6,295.9166831,3.19763647,0.3755742692,,,,,
56A8 ,56A,16/May/18,1B,16,17.6,297.9262059,4.32880061,0.3813650879,,,,,
56A9 ,56A,16/May/18,2A,16,17.6,296.500373,3.598088804,0.3897894327,,,,,
56A10 ,56A,16/May/18,2B,16,17.6,322.0213781,4.003284803,0.3929543526,,,,,
56B6 ,56B,16/May/18,Atm,,,453.999231,2.505952993,0.3368803311,,,,,
56B7 ,56B,16/May/18,1A,15.2,16.1,554.176,16.532,0.301,554.176,16.532,0.301,REPLACED,
56B8 ,56B,16/May/18,1B,15.2,16.1,540.837,16.331,0.293,540.837,16.331,0.293,REPLACED,
56B9 ,56B,16/May/18,2A,15.2,16.1,431.2012502,2.1206155,0.3300044635,,,,,REMOVE
56B10 ,56B,16/May/18,2B,15.2,16.1,431.4725374,2.138215671,0.3332339995,,,,,REMOVE
66C6 ,66C,14/May/18,Atm,,,467.9316753,5.402808194,0.3250730819,,,,,
66C7 ,66C,14/May/18,1A,14.1,14.2,1830.31,135.14,0.277,1830.31,135.14,0.277,REPLACED,
66C8 ,66C,14/May/18,1B,14.1,14.2,1864.161323,129.8673067,0.304226656,,,,,
66C9 ,66C,14/May/18,2A,14.1,13.9,1880.548813,131.2730449,0.2989056446,,,,,
66C10 ,66C,14/May/18,2B,14.1,13.9,1864.760253,127.7747041,0.3032754286,,,,,
66B6 ,66B,14/May/18,Atm,,,425.8461196,2.239751935,0.3248940596,,,,,
